[b'GET', b'/samplereq1.txt', b'HTTP/1.2']
[b'GET', b'/samplereq1.txt', b'HTTP/1.1']
[b'GET', b'/samplereq.txt', b'HTTP/1.1']
[b'GET', b'/index.html', b'HTTP/1.1']
[b'GET', b'/index.html', b'HTTP/1.1']
[b'GET', b'/script.php?param1=value1', b'HTTP/1.1']
[b'GET', b'/script.php?param1=value1', b'HTTP/1.1']
[b'GET', b'/', b'HTTP/1.1']
[b'GET', b'/', b'HTTP/1.1']
[b'GET', b'/samplereq1.txt', b'HTTP/1.1']
[b'GET', b'/script.php?param1=value1', b'HTTP/1.1']
[b'GET', b'/script.php?param1=value1', b'HTTP/1.1']
[b'GET', b'//script.php?param1=value1&param2=value2', b'HTTP/1.1']
[b'GET', b'/script.php?param1=value1&param2=value2', b'HTTP/1.1']
[b'GET', b'/script.php', b'HTTP/1.1']
[b'GET', b'/script.php', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan&age=22', b'HTTP/1.1']
[b'GET', b'/jk.php', b'HTTP/1.1']
[b'GET', b'/jk.php', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan', b'HTTP/1.1']
[b'GET', b'/script.php?name=karan', b'HTTP/1.1']
[b'POST', b'/samplereq1.txt', b'HTTP/1.1']
[b'POST', b'/samplereq1.txt', b'HTTP/1.1']
[b'POST', b'/samplereq1.txt', b'HTTP/1.1']
[b'POST', b'/samplereq1.txt', b'HTTP/1.1']
[b'POST', b'/samplereq1.txt', b'HTTP/1.1']
[b'POST', b'/samplereq1.txt', b'HTTP/1.1']
[b'POST', b'/samplereq1.txt', b'HTTP/1.1']
[b'POST', b'/samplereq1.txt', b'HTTP/1.1']
[b'GET', b'/samplereq1.txt', b'HTTP/1.1']
[b'POST', b'/script.php', b'HTTP/1.1']
[b'POST', b'/script.php', b'HTTP/1.1']
[b'POST', b'/script.php', b'HTTP/1.1']
